Model,MSE,RMSE,MAE,R2,MAPE
XGBoost_NONE,958713664.0,30963.10165341967,7037.47998046875,0.04608279466629028,1.286935324739502e+19
XGBoost_ROS,970214848.0,31148.271990593636,6807.87158203125,0.034639179706573486,1.0808926868498022e+19
XGBoost_RUS,976947264.0,31256.155617733926,6949.43212890625,0.027940452098846436,2.0469205965366886e+19
XGBoost_SMOTE,967916224.0,31111.35201176574,6980.015625,0.03692626953125,8.223300721731174e+18
KNN,1022889318.6443441,31982.64089540362,7372.930803021796,-0.017771719160933674,8.490571007441824e+18
SVR,1023617466.3544779,31994.022353472184,5134.459059635369,-0.01849622388811989,1.0831049107320963e+18
