K,Inertia,Silhouette
2,19608.814641412988,0.24850963068569384
3,15254.91226330975,0.3515580374594679
4,11606.423860041323,0.35212108049534274
5,10139.804754840836,0.32207294389276714
6,8894.347427267672,0.3373819599057781
7,8090.966920463728,0.33050655244285626
8,7370.5478637553615,0.34406723802937333
9,6640.957833141012,0.3554924142928999
10,6039.993302587057,0.35514759281004643
