Model,MSE,RMSE,MAE,R2,MAPE
LSTM,1020836032.0,31950.524753124166,5419.3095703125,-0.015436768531799316,1.0104419087967846e+19
GRU,1032255808.0,32128.738039331703,5233.8720703125,-0.02679610252380371,6.13733109858304e+17
Transformer,1005390080.0,31707.886716083744,7456.2587890625,-7.2479248046875e-05,3.794766814773248e+19
